                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76401,                0.57943,                 1.0973,                0.95182,                0.89552,                0.96479,                0.61561,                 1.2733,                0.92538,                 1.1298,              0.0017822,              0.0017822,              0.0017822
                     36,                0.75392,                0.56031,                 1.1082,                 0.9276,                0.89244,                0.95172,                  0.592,                  1.355,                0.74365,                 1.1968,              0.0017756,              0.0017756,              0.0017756
                     37,                0.75139,                0.54392,                 1.1089,                0.96828,                0.93532,                0.98413,                0.58861,                 1.4136,                0.67001,                 1.2057,               0.001769,               0.001769,               0.001769
                     38,                0.75822,                0.55826,                 1.0903,                0.94686,                 0.9602,                0.98296,                0.63179,                 1.2646,                0.67234,                 1.1528,              0.0017624,              0.0017624,              0.0017624
                     39,                0.77292,                0.58328,                 1.1017,                0.98758,                0.92537,                 0.9842,                0.62216,                 1.3192,                0.70632,                 1.1877,              0.0017558,              0.0017558,              0.0017558
                     40,                0.73456,                 0.5469,                 1.0924,                0.97367,                0.96517,                0.98923,                0.58048,                 1.3514,                 0.6541,                 1.1763,              0.0017492,              0.0017492,              0.0017492
                     41,                0.73149,                0.53356,                 1.0792,                0.80303,                 0.8806,                0.82896,                 0.4731,                 1.3984,                0.91855,                 1.1903,              0.0017426,              0.0017426,              0.0017426
                     42,                0.72308,                0.52469,                 1.0932,                0.95283,                0.90547,                0.96805,                0.58395,                 1.3364,                0.72091,                 1.1782,               0.001736,               0.001736,               0.001736
                     43,                0.73991,                0.51709,                 1.0832,                0.95117,                0.89055,                0.95668,                0.58218,                 1.3033,                 0.6833,                 1.1659,              0.0017294,              0.0017294,              0.0017294
                     44,                0.73749,                0.52756,                 1.0807,                0.97237,                0.87553,                0.95747,                 0.5705,                 1.3104,                0.73162,                 1.1641,              0.0017228,              0.0017228,              0.0017228
                     45,                0.72772,                0.52543,                 1.0794,                   0.96,                 0.9602,                0.99083,                0.63566,                 1.2404,                0.58542,                 1.1442,              0.0017162,              0.0017162,              0.0017162
                     46,                 0.7482,                 0.5256,                 1.0762,                0.97412,                0.88557,                0.97246,                0.58997,                   1.34,                0.71281,                 1.1727,              0.0017096,              0.0017096,              0.0017096
                     47,                0.71734,                0.52263,                 1.0806,                0.87732,                0.86567,                0.88022,                0.54674,                  1.267,                0.78838,                 1.1658,               0.001703,               0.001703,               0.001703
                     48,                0.72064,                0.52868,                 1.0747,                 0.6962,                0.74108,                0.80471,                0.46338,                 1.4352,                 1.1609,                 1.2098,              0.0016964,              0.0016964,              0.0016964
                     49,                0.73394,                0.53671,                 1.0645,                 0.9269,                0.94625,                0.98005,                0.60264,                  1.309,                0.68881,                 1.1635,              0.0016898,              0.0016898,              0.0016898
                     50,                0.70992,                0.64211,                 1.0671,                0.98292,                0.88557,                0.96505,                0.53594,                 1.5032,                0.70978,                 1.2571,              0.0016832,              0.0016832,              0.0016832
                     51,                0.70638,                0.50335,                   1.07,                0.94217,                0.91542,                0.97395,                0.60942,                 1.2424,                0.71733,                 1.1386,              0.0016766,              0.0016766,              0.0016766
                     52,                0.70231,                0.49336,                 1.0753,                0.93457,                0.92379,                0.96967,                0.59098,                 1.3169,                0.64073,                  1.159,                0.00167,                0.00167,                0.00167
                     53,                0.67537,                0.50227,                 1.0547,                0.96547,                0.97363,                0.99215,                0.61817,                 1.2905,                0.60571,                 1.1437,              0.0016634,              0.0016634,              0.0016634
                     54,                0.69784,                0.49863,                 1.0523,                0.96827,                0.95522,                0.98673,                0.62266,                 1.3152,                0.63924,                  1.175,              0.0016568,              0.0016568,              0.0016568
